COG_name,Universe,Up,Down
Function unknown,13943,712,1332
Signal transduction mechanisms,4176,235,452
"Replication, recombination and repair",3998,55,92
"Posttranslational modification, protein turnover, chaperones",3065,126,346
Transcription,2941,204,205
"Secondary metabolites biosynthesis, transport and catabolism",2059,191,236
Carbohydrate transport and metabolism,1974,179,222
Amino acid transport and metabolism,1621,101,146
"Translation, ribosomal structure and biogenesis",1451,32,195
"Intracellular trafficking, secretion, vesicular transport",1127,70,62
Lipid transport and metabolism,1080,82,89
Energy production and conversion,940,73,174
Inorganic ion transport and metabolism,911,88,108
"Cell cycle control, cell division, chromosome partitioning",576,12,21
Coenzyme transport and metabolism,533,28,92
Defense mechanisms,432,33,54
Cytoskeleton,367,18,22
Nucleotide transport and metabolism,305,29,39
Cell wall/membrane/envelope biogenesis,297,16,46
Nuclear structure,13,1,3
Extracellular structures,4,0,1
